Value1;Labels
20.775552773171714;0
26.717327729312203;0
32.74099035842908;0
38.88474250829823;0
40.45316614765831;0
41.27643701430837;0
41.660104437755145;0
41.65867439651693;0
40.99059691983937;0
39.81725696229866;0
37.932143019141385;0
36.059157624073535;0
33.90260038624831;0
31.852086330890277;0
29.644735479904906;0
27.765610843198054;0
26.31121675270794;0
26.066939536155143;0
25.61101937621317;0
26.24426875514514;0
27.00486264972821;0
28.262519772481596;0
30.064401009482477;0
32.256223878006836;0
34.17665937270439;0
36.44819365933426;0
38.341892038661655;0
40.324606483265164;0
41.987108259753974;0
43.045046399984415;0
43.40898121920462;0
43.29175130258107;0
42.48548121809482;0
41.01292657779158;0
39.1401390434047;0
37.18006273183941;0
34.87264010099486;0
32.71897266371787;0
30.652242503489273;0
28.86505937672664;0
27.842912797731646;0
27.124072657129958;0
26.756817743868346;0
27.380683885188454;0
28.43718545191995;0
29.730833814203752;0
31.681674980164885;0
33.70683539306453;0
35.96107367489432;0
38.5071632603731;0
40.56665294571731;0
42.1645779004517;0
43.595127980795034;0
44.295739707251386;0
44.82046140659827;0
44.66588236878959;0
43.7897938190624;0
42.282387393756636;0
40.7282039229119;0
38.79855194715714;0
36.63675724502629;0
34.09895966994252;0
32.04103766236971;0
30.148231364345786;0
28.9065384806839;0
28.091982522451715;0
27.7338539042197;0
28.277118492761034;0
29.329549326770216;0
30.540263765898626;0
32.55847780326696;0
34.45836409116306;0
36.56634859606765;0
38.7443952788597;0
40.66406934781503;0
42.529079604881254;0
43.87773977980526;0
44.555491832275834;0
44.898054456828596;0
44.48872995173887;0
43.72007702962218;0
42.634081238469086;0
40.89653030415216;0
38.95674980951226;0
36.5802489891356;0
34.40785945763308;0
32.464127761830895;0
30.691805358575806;0
29.04697300475021;0
27.934860146653033;0
27.439879909524937;0
27.763920337340792;0
28.494417590191844;0
29.746944241427364;0
31.498140933113163;0
33.73372943984795;0
36.046616394811295;0
38.4173548862123;0
40.583284597447665;0
42.32539615899406;0
43.73928576111392;0
44.62887871713706;0
44.61850736076499;0
44.239533947599874;0
43.517373153615395;0
42.29266755481708;0
40.79683932706136;0
38.82404904461106;0
36.36333228349987;0
34.30399986522552;0
31.99973216190522;0
